DHI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,MBE,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,McClear,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Bulger,Sharma,ElMghouchi,HLJ,FuRich,TJ,Kumar,Campbell,Samimi,Kasten,Dumortier,Modtran,ESRA,,,Station/Model,Site,Climate,National,McClear,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Bulger,Sharma,ElMghouchi,HLJ,FuRich,TJ,Kumar,Campbell,Samimi,Kasten,Dumortier,Modtran,ESRA
Thohoyandou,-3.08,-1.89,-19.43,-12.76,-3.45,1.11,-5.77,-2.59,-29.48,43.42,-19.74,-15.47,-64.41,-25.91,42.98,-18.66,-46.97,2.02,-44.35,28.07,-3.06,10.48,4.96,,,Thohoyandou,3.08,1.89,19.43,12.76,3.45,1.11,5.77,2.59,29.48,43.42,19.74,15.47,64.41,25.91,42.98,18.66,46.97,2.02,44.35,28.07,3.06,10.48,4.96
Nelspruit,14.01,12.91,-6.57,2.1,11.45,12.72,9.31,14.23,-17.75,59.59,-6.6,-2.2,-58.64,-19.07,58.4,-0.6,-36.25,19.75,-36.8,44.37,6.36,17.91,15.74,,,Nelspruit,14.01,12.91,6.57,2.1,11.45,12.72,9.31,14.23,17.75,59.59,6.6,2.2,58.64,19.07,58.4,0.6,36.25,19.75,36.8,44.37,6.36,17.91,15.74
Durban,17.9,-0.74,-18.38,7.29,-0.26,-0.16,-4.53,-0.95,-28.41,42.49,-18.66,-14.26,-63.87,-10.89,32.59,-19.89,-45.02,4.51,-46.61,6.37,-8.64,1.78,-0.31,,,Durban,17.9,0.74,18.38,7.29,0.26,0.16,4.53,0.95,28.41,42.49,18.66,14.26,63.87,10.89,32.59,19.89,45.02,4.51,46.61,6.37,8.64,1.78,0.31
Mthatha,8.65,35.39,13.08,18.64,36.98,12.87,32.32,40.14,0.23,86.94,13.98,19.47,-49.66,3.94,74.99,18.32,-18.93,48.64,-27.03,39.34,8.76,15.77,20.24,,,Mthatha,8.65,35.39,13.08,18.64,36.98,12.87,32.32,40.14,0.23,86.94,13.98,19.47,49.66,3.94,74.99,18.32,18.93,48.64,27.03,39.34,8.76,15.77,20.24
George,5.44,-0.27,4.61,-2.49,29.18,37.97,22.4,28.31,-7.76,79.92,5.04,11.89,-53.4,12.72,66.33,-3.36,-27.2,36.73,-32.22,58.67,30.4,48.14,40.92,,,George,5.44,0.27,4.61,2.49,29.18,37.97,22.4,28.31,7.76,79.92,5.04,11.89,53.4,12.72,66.33,3.36,27.2,36.73,32.22,58.67,30.4,48.14,40.92
Stellenboch,-2.98,3.83,9.41,21.18,35.38,42.98,28,32.52,-4.14,96.14,9.3,17.5,-51.35,19.62,88.04,-7.71,-26.76,41.28,-26.71,56.38,31.68,51,42.85,,,Stellenboch,2.98,3.83,9.41,21.18,35.38,42.98,28,32.52,4.14,96.14,9.3,17.5,51.35,19.62,88.04,7.71,26.76,41.28,26.71,56.38,31.68,51,42.85
Cape Point,8.68,-5.1,-0.93,-0.07,22.85,23.86,16.02,23.24,-12.02,66.3,0.37,6.92,-55.66,10.81,46.45,-2.8,-29.29,30.73,-38.84,31.18,11.14,23.28,21.37,,,Cape Point,8.68,5.1,0.93,0.07,22.85,23.86,16.02,23.24,12.02,66.3,0.37,6.92,55.66,10.81,46.45,2.8,29.29,30.73,38.84,31.18,11.14,23.28,21.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,12,14,24,28,21,25,15,76,13,15,55,19,74,10,30,32,31,52,24,34,29
RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,McClear,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Bulger,Sharma,ElMghouchi,HLJ,FuRich,TJ,Kumar,Campbell,Samimi,Kasten,Dumortier,Modtran,ESRA,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Bay,26.71,28.04,28.03,26.5,38.1,59.79,35.24,36.96,26.93,93.26,27.78,29.94,49.06,29.88,102.09,35.58,36.66,41.22,35.88,78.79,55.82,80.74,63.16,,,,,,,,,,,,,,,,,,,,,,,,,,
Upington,24.75,25.35,32.45,25.59,45.37,63.87,43.07,45.87,26.76,99.08,32.4,36.82,36.17,26.78,115.31,32.76,27.44,50.74,29.74,98.4,58.05,78.7,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,
De Aar,35.9,35.9,40.24,35.13,39.03,65.29,47.65,50.2,36.9,83.87,40.34,33.17,42.51,36.06,114.51,40.76,37.62,54.54,37.87,81.39,54.03,78.6,69.77,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethlehem,43.6,43.6,36.38,48.16,46.45,62.53,56.39,58.4,68.68,83.56,36.59,45.39,65.14,44.29,100.73,45.97,57.31,59.86,50.36,66.03,66.15,64.02,64.58,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahikeng,37.9,38.21,37.72,32.15,40.4,41.35,40.08,41.88,39.58,82.12,37.92,37.98,61.61,43.65,102.56,43.66,50.07,44.38,45.78,53.87,36.99,39.77,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Irene,37.83,37.78,38.93,43.13,37.72,38.12,37.42,38.31,43.29,71.9,39.25,38.45,69.97,51.74,93.99,40.25,56.09,40.01,51.74,42.28,37.9,37.04,36.25,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretoria,37.51,37.62,38.67,47.52,38.04,37.97,37.69,38.77,42.85,73.87,39.03,38.22,69.23,50.05,94.64,41.21,55.84,40.71,50.86,43.97,37.06,36.68,36.08,,,,,,,,,,,,,,,,,,,,,,,,,,
Thohoyandou,40.45,40.35,35.52,37.19,40.58,40.48,40.68,40.76,51.88,71.97,46.01,43.87,81.46,50.1,84.82,49.92,67.74,41.19,62.84,51.44,40.37,43.41,40.52,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelspruit,34.49,34.15,32.6,31.73,33.49,33.72,33.01,34.86,36.35,69.36,32.87,31.94,62.87,37.51,81.74,39.34,49.11,37.17,46,52.45,32.53,36.72,34.93,,,,,,,,,,,,,,,,,,,,,,,,,,
Durban,42.36,36.99,41.92,40.04,36.6,36.01,37.25,37.47,48.2,66.79,42.33,39.7,77.92,39.01,72.61,52.33,62.94,37.64,61.61,36.71,37.19,36.4,35.93,,,,,,,,,,,,,,,,,,,,,,,,,,
Mthatha,30.06,40.52,31.16,29.49,39.95,37.16,38.01,41.16,29.41,78.92,31.12,32.91,46.34,29.64,88.28,36.7,34.17,45.66,36.65,48.63,33.96,40.37,36.84,,,,,,,,,,,,,,,,,,,,,,,,,,
George,33.85,33.4,33.75,32.65,40.85,47.15,38.32,40.32,33.96,83.42,33.64,34.68,54.39,34.85,91.79,40.6,42.16,44.42,43.06,60.32,43.3,57.58,48.85,,,,,,,,,,,,,,,,,,,,,,,,,,
Stellenboch,30.52,30.58,31.3,31.46,41.25,46.88,37.79,39.88,30.72,92.69,31.28,33.28,51.42,34.15,102.37,39.86,40.63,44.7,37.76,55.83,40.57,54.71,46.75,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Point,32.08,31.44,31.64,28.86,36.88,40.18,34.8,36.28,32.5,77.65,31.25,32.38,54.64,32.21,86.49,35.26,40.32,39.62,45.78,44.59,35.8,44.5,39.18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,35,35,35,40,46,40,42,39,81,36,36,59,39,95,41,47,44,45,58,44,52,47,,,,,,,,,,,,,,,,,,,,,,,,,,
rRMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,McClear,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Bulger,Sharma,ElMghouchi,HLJ,FuRich,TJ,Kumar,Campbell,Samimi,Kasten,Dumortier,Modtran,ESRA,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Bay,33.71,35.39,35.37,33.45,48.09,75.47,44.48,46.64,33.99,117.71,35.06,37.79,61.92,37.72,128.85,44.91,46.27,52.02,45.29,99.44,70.45,101.9,79.72,,,,,,,,,,,,,,,,,,,,,,,,,,
Upington,39.42,40.39,41.69,40.77,72.27,101.76,68.62,73.08,42.62,157.84,51.61,58.65,57.62,42.67,183.7,52.2,43.72,80.84,47.38,156.76,92.48,125.37,103.72,,,,,,,,,,,,,,,,,,,,,,,,,,
De Aar,44.07,44.07,41.08,42.83,95.25,121.49,93.03,97.14,75.68,167.61,81.24,85.8,84.73,74.33,200.92,81.91,76.85,104.15,77.24,163.61,103.33,126.84,112.59,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethlehem,44.67,44.67,44.37,48.42,76.45,71.94,76.38,78.69,79.01,96.13,76.61,75.23,97.94,85.46,115.88,87.4,88.94,80.38,80.94,75.96,76.1,73.65,74.29,,,,,,,,,,,,,,,,,,,,,,,,,,
