DNI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site2,Climate2,National2,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Meinel,Sharma,ElMghouchi,HLJ,FuRich,TJ,McClear,Ineichen,Site1,Climate1,National1,Laurie,Kasten,Kumar,Campbell,Samimi,ESRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Aar,81.68,81.68,83.2,141.91,146.41,174.2,190.8,91.88,120.79,164.13,162.62,121.34,120.04,473.38,148.97,72.23,189.4,79.26,79.26,111.71,88.95,184.67,115.82,254.57,89.62,186.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethlehem,124.8,124.8,117.46,119.41,125.33,131.18,143.79,104.47,99.73,133.87,133.15,112.1,112.59,389.9,150.73,119.23,150.18,123.6,123.6,105.63,122.57,106.42,127.89,206.12,122.11,103.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahikeng,86.17,85.07,87.67,96.75,96.36,98.95,116.65,105.09,89.84,106.16,104.94,93.12,98.95,369.48,126.71,103.59,123.03,89.45,87.9,89.46,108.13,96.9,125.57,176.37,107.87,96.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irene,89.59,91.02,94.9,87.48,108.02,96.49,103.55,116.13,96.92,94.13,93.65,86.27,99.12,341.42,101.19,74.43,105.85,86.24,87.27,89.11,118.52,89.13,115.66,150.74,118.04,86.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretoria,89.68,89.46,91.07,88.23,94.93,102.91,108.82,107.94,93.17,97.14,96.64,84.61,90.7,355.06,101.13,83.35,109.84,85.82,85.37,85.83,104.96,84.89,109.59,154.04,104.58,84.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thohoyandou,76.69,78.92,94.47,75.29,72.08,75.93,78.99,123.96,96.5,74.45,74.51,83.09,77.99,347.37,91.82,78.16,78.56,73.97,75.78,89.34,86.62,76.78,127.68,112.46,86.27,74.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelspruit,77.42,78.9,120.92,88.45,89.46,77.36,82.57,155.8,123.41,82.04,82.31,100.99,88.9,316.31,93.97,118.71,80.9,73.27,74.9,111.45,119.5,77.26,148.14,111,118.92,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durban,101.32,113.12,154.33,127.39,115.44,108.98,110.92,188.31,157.11,123.24,123.9,147.21,111.55,327.93,156.85,120.92,114.55,102.81,114.64,153.88,126.7,114.18,195.18,119.13,126.32,126.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mthatha,69.12,84.36,70.84,74.1,90.56,88.2,99.24,91.38,72.09,83.89,83.18,65.57,88.35,410.75,96.15,63.06,101.42,66.22,82.33,67.12,66.74,86.44,88.9,161.87,66.76,84.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George,58.13,60.37,59.76,71.8,98.89,87.5,96.95,77.65,60.02,78.08,77.44,61.58,143.12,431.38,96.86,73.16,95.43,59.86,61.89,62.26,70.09,104.07,93.63,154.99,70.76,91.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
